Total_Load,Time_Start,Time_End,Med_S1_Code,Med_S2_Code,Med_S3_Code,Total_Conductance
13_6g,1785670352985.30,1785670406339.70,4203289,4203299,4203289,1.200048e-09
18_6g,1785670456914.90,1785670513098.10,4203218,4203220,4203210,1.200048e-09
23_6g,1785670557205.10,1785670607325.90,4203096,4203102,4203121,1.200048e-09
30_1g,1785670660931.70,1785670712265.30,4203126,4203125,4203140,1.200048e-09
36_1g,1785670767640.60,1785670819781.40,4203278,4203267,4203279,1.200048e-09
41_8g,1785670864446.50,1785670919010.50,4203288,4203299,4203291,1.200048e-09
44_8g,1785664556600.00,1785664608336.00,4202321,1021662,4202346,3.105453e-05
46_8g,1785670964735.50,1785671021323.50,4203442,656576,4203433,5.388221e-05
51_8g,1785671064928.60,1785671122725.40,4203360,598306,4203355,6.010372e-05
54_8g,1785664684017.30,1785664740603.70,4202486,501661,4202500,7.360912e-05
57_8g,1785671157690.60,1785671209831.40,4203376,542182,4203362,6.736043e-05
64_8g,1785664786884.30,1785664841854.70,4203044,394191,800264,1.388147e-04
65_5g,1785654888476.10,1785654941828.90,4205617,4205629,4205628,1.200048e-09
75_8g,1785664888391.40,1785664942954.60,1153936,363168,551692,1.978661e-04
82_1g,1785655101586.80,1785655170297.20,137622,118585,95075,1.069623e-03
85_8g,1785664983679.80,1785665036630.20,1074993,341215,507966,2.145101e-04
95_8g,1785665069317.40,1785665124288.60,926330,311538,446264,2.438979e-04
105_8g,1785665169307.40,1785665219830.60,840798,298314,328124,2.883115e-04
115_8g,1785665250853.60,1785665302994.40,607036,286506,264168,3.442636e-04
126_8g,1785665357157.20,1785665414958.80,517258,268698,249788,3.750990e-04
135_8g,1785665451387.70,1785665507169.30,383839,259482,230700,4.227216e-04
145_8g,1785665546171.10,1785665596291.90,307729,250356,218251,4.660102e-04
157_6g,1785665650405.30,1785665730031.70,262350,243394,210424,5.015262e-04
167_6g,1785665749133.50,1785665802081.50,246754,240170,201809,5.224534e-04
177_6g,1785665850537.20,1785665918442.80,235016,235279,196826,5.398352e-04
188_6g,1785665956839.40,1785666010194.60,223499,196274,186919,5.957533e-04
198_6g,1785666048546.70,1785666099880.30,210981,171998,180442,6.451038e-04
210_8g,1785666173999.20,1785666226544.80,203629,160927,166563,6.884265e-04
222_8g,1785666269288.00,1785666332344.00,195121,152217,149732,7.406275e-04
232_8g,1785666372261.10,1785666426421.90,187697,145433,144642,7.718407e-04
244_8g,1785666465329.50,1785666524341.50,180846,141647,138416,8.010580e-04
254_8g,1785666563550.80,1785666616093.20,175818,133349,131363,8.423863e-04
264_8g,1785666663030.40,1785666715169.60,171870,128189,127308,8.706980e-04
274_8g,1785666824655.10,1785666876391.90,162358,123327,124150,9.062745e-04
294_8g,1785666942224.80,1785667012959.20,146687,114440,116958,9.810617e-04
307_8g,1785667077274.10,1785667157306.90,141278,111313,112183,1.017566e-03
324_8g,1785667221573.40,1785667275736.60,135242,108818,109100,1.050021e-03
335_8g,1785667323835.20,1785667379612.80,131028,107490,107239,1.071429e-03
345_8g,1785667429178.70,1785667482936.30,122929,106169,105224,1.104864e-03
357_8g,1785667551449.20,1785667601162.80,112868,103908,93710,1.192849e-03
367_8g,1785667651285.60,1785667703426.40,109550,103292,90484,1.222469e-03
377_8g,1785667731667.60,1785667788256.40,106237,101811,89100,1.247517e-03
387_8g,1785667831156.40,1785667887335.60,100989,99598,87326,1.286750e-03
398_8g,1785667926850.10,1785667988690.90,98453,97669,85984,1.313265e-03
408_8g,1785668021833.70,1785668075591.30,96731,96396,84840,1.333090e-03
420_8g,1785668135362.50,1785668187910.50,94326,95506,83602,1.355531e-03
430_8g,1785668223427.70,1785668285273.30,91764,94648,82216,1.380378e-03
440_8g,1785668322358.90,1785668379350.10,88366,93210,81154,1.411468e-03
452_8g,1785668416790.00,1785668469334.00,87472,91839,80118,1.429720e-03
462_8g,1785668511625.40,1785668562956.60,85410,90869,79008,1.453526e-03
472_8g,1785668614089.80,1785668676736.20,85571,90862,79022,1.452545e-03
482_8g,1785668712154.70,1785668763080.30,84217,90023,78045,1.471371e-03
494_8g,1785668825274.30,1785668900052.70,82662,88996,77538,1.489627e-03
504_8g,1785669009587.50,1785669063343.50,81380,87816,76526,1.511116e-03
556_8g,1785669154740.80,1785669213755.20,79111,85183,72671,1.569730e-03
606_8g,1785669276455.90,1785669331023.10,76766,82802,70646,1.616639e-03
656_8g,1785669376798.30,1785669429744.70,75082,80171,68364,1.665324e-03
690_8g,1785669485121.90,1785669543729.10,76120,80113,69256,1.650192e-03
790_8g,1785669600972.60,1785669656753.40,74062,71876,66162,1.753815e-03
