timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785925791783,4207181.000000,4147376.000000,4207248.000000,2.507675,2.472029,2.507715,2.495807
1785925792288,4207251.000000,4147226.000000,4207225.000000,2.507717,2.471940,2.507702,2.495786
1785925792791,4207150.000000,4147115.000000,4207106.000000,2.507657,2.471873,2.507631,2.495720
1785925793300,4207291.000000,4147346.000000,4207216.000000,2.507741,2.472011,2.507696,2.495816
1785925793804,4207194.000000,4147445.000000,4207136.000000,2.507683,2.472070,2.507649,2.495801
1785925794308,4207189.000000,4149038.000000,4207180.000000,2.507680,2.473020,2.507675,2.496125
1785925794812,4207213.000000,4147679.000000,4207172.000000,2.507694,2.472209,2.507670,2.495858
1785925795322,4207014.000000,4147484.000000,4207074.000000,2.507576,2.472093,2.507612,2.495760
1785925795825,4207077.000000,4146946.000000,4207102.000000,2.507613,2.471773,2.507628,2.495672
1785925796329,4207018.000000,4147078.000000,4207034.000000,2.507578,2.471851,2.507588,2.495672
1785925796833,4207014.000000,4146872.000000,4207052.000000,2.507576,2.471729,2.507599,2.495634
1785925797343,4206946.000000,4146760.000000,4206954.000000,2.507535,2.471662,2.507540,2.495579
1785925797846,4207074.000000,4146886.000000,4207081.000000,2.507612,2.471737,2.507616,2.495655
1785925798351,4207118.000000,4146825.000000,4207111.000000,2.507638,2.471700,2.507634,2.495657
1785925798854,4207005.000000,4146447.000000,4207128.000000,2.507571,2.471475,2.507644,2.495563
1785925799363,4207081.000000,4146588.000000,4207013.000000,2.507616,2.471559,2.507575,2.495584
1785925799867,4207008.000000,4146441.000000,4207102.000000,2.507572,2.471472,2.507628,2.495558
1785925800372,4207114.000000,4146246.000000,4207020.000000,2.507636,2.471355,2.507580,2.495523
1785925800875,4206998.000000,4146631.000000,4207141.000000,2.507566,2.471585,2.507652,2.495601
1785925801384,4207126.000000,4146260.000000,4207046.000000,2.507643,2.471364,2.507595,2.495534
1785925801889,4207053.000000,4146027.000000,4207070.000000,2.507599,2.471225,2.507609,2.495478
1785925802393,4207123.000000,4146040.000000,4207128.000000,2.507641,2.471233,2.507644,2.495506
1785925802896,4207073.000000,4146103.000000,4207094.000000,2.507611,2.471270,2.507624,2.495502
1785925803406,4207132.000000,4145912.000000,4207168.000000,2.507646,2.471156,2.507668,2.495490
1785925803909,4207170.000000,4146196.000000,4207141.000000,2.507669,2.471326,2.507652,2.495548
1785925804414,4207032.000000,4146236.000000,4207047.000000,2.507587,2.471349,2.507596,2.495511
